fstat	df	pvalue
3.8	12	0.07501152
3.8	13	0.07316033
3.8	14	0.07157547
3.8	15	0.07020351
3.8	16	0.0690044
3.8	17	0.06794749
3.8	18	0.06700897
3.8	19	0.06617006
3.8	20	0.06541573
3.8	21	0.06473383
3.8	22	0.06411443
3.8	23	0.06354933
3.8	24	0.0630317
3.8	25	0.0625558
3.8	26	0.06211681
3.8	27	0.06171058
3.8	28	0.06133359
3.8	29	0.0609828
3.8	30	0.06065557
3.9	1	0.298403
3.9	2	0.1869705
3.9	3	0.1427722
3.9	4	0.1195051
3.9	5	0.1052701
3.9	6	0.09570575
3.9	7	0.08885485
3.9	8	0.08371426
3.9	9	0.07971871
3.9	10	0.07652619
3.9	11	0.073918
3.9	12	0.07174794
3.9	13	0.06991466
3.9	14	0.06834571
3.9	15	0.06698799
3.9	16	0.06580167
3.9	17	0.06475632
3.9	18	0.0638283
3.9	19	0.06299896
3.9	20	0.06225339
3.9	21	0.06157954
3.9	22	0.06096755
3.9	23	0.06040931
3.9	24	0.05989803
3.9	25	0.05942805
3.9	26	0.05899457
3.9	27	0.05859349
3.9	28	0.05822132
3.9	29	0.05787505
3.9	30	0.05755207
4	1	0.2951672
4	2	0.1835034
4	3	0.139326
4	4	0.1161165
4	5	0.1019395
4	6	0.09242631
4	7	0.08561933
4	8	0.08051624
4	9	0.07655282
4	10	0.07338803
4	11	0.07080396
4	12	0.06865501
4	13	0.06684036
4	14	0.06528795
4	15	0.06394501
4	16	0.06277196
4	17	0.06173861
4	18	0.06082147
4	19	0.06000204
